gene,pathway_id,pathway_name,pmids,source_url
CCNE1,R-HSA-69205,G1/S-Specific Transcription,7623816; 14990995; 10692433; 9520412; 9778043; 8618861; 11988738; 8943353; 8050359; 15084262; 8114698; 10228158; 10597240; 8288595; 7929342; 15014447; 9662327; 10454584; 9020173; 15510213,https://reactome.org/content/detail/R-HSA-69205
WEE1,R-XTR-69206,G1/S Transition,,https://reactome.org/content/detail/R-XTR-69206
CDK4,R-XTR-69206,G1/S Transition,,https://reactome.org/content/detail/R-XTR-69206
CCNE1,R-XTR-69206,G1/S Transition,,https://reactome.org/content/detail/R-XTR-69206
KRAS,R-HSA-6802948,Signaling by high-kinase activity BRAF mutants,12068308; 25435214; 15035987; 21190184; 22510884; 16702958; 23352452; 16364920; 22113612; 24202393,https://reactome.org/content/detail/R-HSA-6802948
PTEN,R-HSA-5689896,Ovarian tumor domain proteases,23827681,https://reactome.org/content/detail/R-HSA-5689896
TP53,R-HSA-5689896,Ovarian tumor domain proteases,23827681,https://reactome.org/content/detail/R-HSA-5689896
MYC,R-HSA-2173796,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,12592392; 10934479; 11294908; 19914168; 18568018; 14657019; 12150994; 11013220; 22275377; 11274402; 15150273; 10022869,https://reactome.org/content/detail/R-HSA-2173796
CCNE1,R-RNO-69615,G1/S DNA Damage Checkpoints,,https://reactome.org/content/detail/R-RNO-69615
ATM,R-RNO-69615,G1/S DNA Damage Checkpoints,,https://reactome.org/content/detail/R-RNO-69615
TP53,R-RNO-69615,G1/S DNA Damage Checkpoints,,https://reactome.org/content/detail/R-RNO-69615
WEE1,R-RNO-69656,Cyclin A:Cdk2-associated events at S phase entry,,https://reactome.org/content/detail/R-RNO-69656
CDK4,R-RNO-69656,Cyclin A:Cdk2-associated events at S phase entry,,https://reactome.org/content/detail/R-RNO-69656
CCNE1,R-RNO-69656,Cyclin A:Cdk2-associated events at S phase entry,,https://reactome.org/content/detail/R-RNO-69656
MDM2,R-DRE-6804756,Regulation of TP53 Activity through Phosphorylation,,https://reactome.org/content/detail/R-DRE-6804756
ATM,R-DRE-6804756,Regulation of TP53 Activity through Phosphorylation,,https://reactome.org/content/detail/R-DRE-6804756
TP53,R-DRE-6804756,Regulation of TP53 Activity through Phosphorylation,,https://reactome.org/content/detail/R-DRE-6804756
AURKA,R-DRE-6804756,Regulation of TP53 Activity through Phosphorylation,,https://reactome.org/content/detail/R-DRE-6804756
CDK6,R-GGA-9754119,Drug-mediated inhibition of CDK4/CDK6 activity,,https://reactome.org/content/detail/R-GGA-9754119
CHK1,R-GGA-5693616,Presynaptic phase of homologous DNA pairing and strand exchange,,https://reactome.org/content/detail/R-GGA-5693616
ATM,R-GGA-5693616,Presynaptic phase of homologous DNA pairing and strand exchange,,https://reactome.org/content/detail/R-GGA-5693616
CHK1,R-GGA-351470,Homologous recombination repair (HRR) of replication-independent double-strand breaks,,https://reactome.org/content/detail/R-GGA-351470
ATM,R-GGA-351470,Homologous recombination repair (HRR) of replication-independent double-strand breaks,,https://reactome.org/content/detail/R-GGA-351470
MDM2,R-BTA-5633007,Regulation of TP53 Activity,,https://reactome.org/content/detail/R-BTA-5633007
ATM,R-BTA-5633007,Regulation of TP53 Activity,,https://reactome.org/content/detail/R-BTA-5633007
TP53,R-BTA-5633007,Regulation of TP53 Activity,,https://reactome.org/content/detail/R-BTA-5633007
AURKA,R-BTA-5633007,Regulation of TP53 Activity,,https://reactome.org/content/detail/R-BTA-5633007
ATR,R-BTA-5633007,Regulation of TP53 Activity,,https://reactome.org/content/detail/R-BTA-5633007
PIK3CA,R-HSA-201556,Signaling by ALK,9053841; 8122112; 29054983; 11607814; 18097461; 29455642; 24060861; 27573755; 29374774; 31366041; 22086496; 11278720; 12122009; 17904822; 15886198; 15226403; 23267434; 24125182; 23889475; 25331893; 26418745; 26630010; 30061385; 34819673; 29317532; 34646012; 33411331; 23777859; 11121404; 16317043; 17274988; 32442405; 33641239,https://reactome.org/content/detail/R-HSA-201556
MYC,R-HSA-201556,Signaling by ALK,9053841; 8122112; 29054983; 11607814; 18097461; 29455642; 24060861; 27573755; 29374774; 31366041; 22086496; 11278720; 12122009; 17904822; 15886198; 15226403; 23267434; 24125182; 23889475; 25331893; 26418745; 26630010; 30061385; 34819673; 29317532; 34646012; 33411331; 23777859; 11121404; 16317043; 17274988; 32442405; 33641239,https://reactome.org/content/detail/R-HSA-201556
WEE1,R-HSA-69242,S Phase,,https://reactome.org/content/detail/R-HSA-69242
CDK4,R-HSA-69242,S Phase,,https://reactome.org/content/detail/R-HSA-69242
CCNE1,R-HSA-69242,S Phase,,https://reactome.org/content/detail/R-HSA-69242
MYC,R-HSA-69242,S Phase,,https://reactome.org/content/detail/R-HSA-69242
